rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-5284	131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)	1.14.13.81	NA									|CHLOROPHYLL-SYN|	no_blast	NA	rxn04152 rxn04153 rxn04154 rxn23456 	NA	0	NA
RXN-5283	131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)	1.14.13.81	NA									|CHLOROPHYLL-SYN|	no_blast	NA	rxn04152 rxn04153 rxn04154 rxn23456 	NA	0	NA
RXN-5282	magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)	1.14.13.81	NA									|CHLOROPHYLL-SYN|	no_blast	NA	rxn04152 rxn04153 rxn04154 rxn23456 	NA	0	NA
RXN-5285	3,8-divinyl-protochlorophyllide oxidoreductase	1.3.1.33	NA									|CHLOROPHYLL-SYN|	no_seq_data	NA	rxn02716 rxn04162 rxn26498 rxn28309 	NA	0	NA
BADH-RXN	betaine aldehyde dehydrogenase	1.2.1.8	NA	UniRef50_A0A8J8JP59	23.399	7.25e-07	48.9	77	scaffold00020	25568	24432	|CHOLINE-BETAINE-ANA-PWY|	bad_blast	NA	rxn01867 rxn01868 	NA	0	NA
CHD-RXN	choline monooxygenase	1.1.99.1	NA	UniRef50_A0A3D2VD90	30.357	1.6	23.5	85	scaffold00014	65806	65639	|CHOLINE-BETAINE-ANA-PWY|	bad_blast	NA	rxn01869 rxn05921 rxn10062 rxn11931 rxn11935 rxn19288 	NA	0	NA
GLUTAMIN-RXN	glutaminase	3.5.1.38/3.5.1.2	NA									|CITRULBIO-PWY|	no_blast	NA	rxn00189 rxn01153 rxn29962 	Subunit HisH	0	NA
GLUTAMIN-RXN	glutaminase	3.5.1.38/3.5.1.2	NA									|CITRULBIO-PWY|	no_blast	NA	rxn00189 rxn01153 rxn29962 	Subunit PdxT	0	NA
GLUTAMIN-RXN	glutaminase	3.5.1.38/3.5.1.2	NA									|CITRULBIO-PWY|	no_blast	NA	rxn00189 rxn01153 rxn29962 	Subunit PurQ	0	NA
ARGINASE-RXN	arginase	3.5.3.1	NA									|CITRULBIO-PWY|	no_blast	NA	rxn00394 rxn23849 	NA	0	NA
SPONTPRO-RXN	SPONTPRO-RXN		NA									|CITRULBIO-PWY|	spontaneous	NA	 	NA	0	NA
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	Ornithine--oxo-glutarate aminotransferase	2.6.1.13	NA	UniRef90_Q5JEW1	31.655	2.90e-56	198	91	scaffold00014	60111	58975	|CITRULBIO-PWY|	bad_blast	NA	rxn00467 rxn00468 rxn05981 rxn15055 rxn20494 rxn29001 rxn38905 rxn38906 rxn38907 rxn38908 	NA	0	NA
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase	2.1.3.3		UniRef90_A3CU82	37.576	8.06e-69	229	97	scaffold00026	46417	47406	|CITRULBIO-PWY|	good_blast	NA	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase	2.1.3.3		UniRef90_A2SQ85	38.580	1.21e-66	223	97	scaffold00026	46417	47388	|CITRULBIO-PWY|	good_blast	NA	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase	2.1.3.3		UniRef90_A6UNM1	41.034	3.40e-63	213	89	scaffold00026	46543	47409	|CITRULBIO-PWY|	good_blast	NA	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
GLUTKIN-RXN	gamma-glutamyl kinase	2.7.2.11	NA	UniRef90_Q3IP73	35.507	1.14e-31	121	94	scaffold00007	81074	81901	|CITRULBIO-PWY|	bad_blast	NA	rxn00179 rxn33944 	NA	0	NA
GLUTSEMIALDEHYDROG-RXN	gamma-glutamyl phosphate reductase	1.2.1.41		UniRef90_Q3IP72	41.805	8.33e-97	315	92	scaffold00007	82594	83838	|CITRULBIO-PWY|	good_blast	NA	rxn02373 rxn02990 rxn32479 rxn33945 	NA	0	1
RXN-14903	proline dehydrogenase	1.5.5.2	NA									|CITRULBIO-PWY|	no_blast	NA	rxn03424 rxn05947 rxn06358 rxn06840 rxn09188 rxn13741 rxn24693 rxn33333 	NA	0	NA
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase, catabolic	2.1.3.3		UniRef90_A3CU82	37.576	8.06e-69	229	97	scaffold00026	46417	47406	|CITRULLINE-DEG-PWY|	good_blast	full	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase, catabolic	2.1.3.3		UniRef90_A2SQ85	38.580	1.21e-66	223	97	scaffold00026	46417	47388	|CITRULLINE-DEG-PWY|	good_blast	full	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
ORNCARBAMTRANSFER-RXN	ornithine carbamoyltransferase, catabolic	2.1.3.3		UniRef90_A6UNM1	41.034	3.40e-63	213	89	scaffold00026	46543	47409	|CITRULLINE-DEG-PWY|	good_blast	full	rxn01019 rxn25283 rxn30043 rxn33987 	NA	0	1
RXN-14196	carbamate kinase			UniRef90_Q5JHG5	40.506	1.30e-61	209	99	scaffold00005	33696	34616	|CITRULLINE-DEG-PWY|	good_blast	full	 	NA	0	1
RXN0-5222	cyanase		NA									|CITRULLINE-DEG-PWY|	spontaneous	full	 	NA	0	NA
RXN-8095	methanol:MtaC protein Co-methyltransferase	2.1.1.90	NA									|CO2FORM-PWY|	no_blast	NA	rxn03044 rxn11601 rxn15963 rxn24606 	NA	0	NA
RXN-8096	MtaC protein: coenzyme M methyltransferase	2.1.1.246	NA									|CO2FORM-PWY|	no_blast	NA	rxn15963 rxn24607 	NA	0	NA
PANTEPADENYLYLTRAN-RXN	pantetheine-phosphate adenylyltransferase	2.7.7.3	NA	UniRef90_Q46A30	23.718	1.8	25.8	91	scaffold00035	2188	1766	|COA-PWY|	bad_blast	NA	rxn02175 	NA	0	NA
DEPHOSPHOCOAKIN-RXN	dephospho-CoA kinase	2.7.1.24	NA	UniRef50_A0A849QGN8	31.500	2.26e-15	71.2	91	scaffold00001	285994	286560	|COA-PWY|	bad_blast	NA	rxn00100 	NA	0	NA
P-PANTOCYSDECARB-RXN	4'-phosphopantothenoylcysteine decarboxylase	4.1.1.36		UniRef90_Q5JF17	37.410	9.72e-65	221	98	scaffold00014	56993	55779	|COA-PWY|	good_blast	NA	rxn02341 	NA	0	1
P-PANTOCYSLIG-RXN	phosphopantothenoylcysteine synthetase	6.3.2.5		UniRef90_Q5JF17	37.410	9.72e-65	221	98	scaffold00014	56993	55779	|COA-PWY|	good_blast	NA	rxn02953 rxn02954 rxn02955 rxn09177 rxn12512 	NA	0	1
FORMATE-DEHYDROGENASE-NADP+-RXN	NADP-dependent formate dehydrogenase	1.17.1.10	NA									|CODH-PWY|	no_seq_data	NA	rxn00103 rxn33750 	NA	0	NA
METHCOCLTH-RXN	methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	2.1.1.258		UniRef50_X1UZE0	46.939	1.89e-61	203	98	scaffold00036	24724	25311	|CODH-PWY|	good_blast	NA	rxn06149 	NA	0	1
ACETYLSYNCLTH-RXN	CO-methylating acetyl-CoA synthase	2.3.1.169	NA									|CODH-PWY|	no_blast	NA	rxn12080 rxn15962 rxn16164 rxn19033 	NA	0	NA
RXN-5061	methylenetetrahydrofolate reductase (ferredoxin)	1.5.7.1	NA									|CODH-PWY|	no_seq_data	NA	rxn05942 rxn14396 rxn24034 rxn28000 	NA	0	1
1.5.1.20-RXN	methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef50_A0A5E4K464	42.049	1.82e-68	227	96	scaffold00036	21764	22573	|CODH-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	NA	0	1
1.5.1.20-RXN	methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef50_K8DWV4	44.534	2.33e-67	224	85	scaffold00036	21764	22489	|CODH-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3CWL0	45.276	7.56e-64	214	89	scaffold00014	54843	54082	|CODH-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8GG34	43.922	1.09e-59	202	90	scaffold00014	54843	54082	|CODH-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
FORMATETHFLIG-RXN	formyltetrahydrofolate synthetase	6.3.4.3		UniRef90_Q18JB5	50.929	1.32e-167	526	93	scaffold00013	63946	62360	|CODH-PWY|	good_blast	NA	rxn00690 rxn24148 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	NADP+-dependent methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A3CWL0	45.276	7.56e-64	214	89	scaffold00014	54843	54082	|CODH-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	NADP+-dependent methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_B8GG34	43.922	1.09e-59	202	90	scaffold00014	54843	54082	|CODH-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
1.2.7.4-RXN	carbon monoxide dehydrogenase (ferredoxin)	1.2.7.4	NA									|CODH-PWY|	no_blast	NA	rxn05803 rxn06847 rxn07189 rxn07824 rxn15962 rxn16153 rxn16164 rxn17208 rxn19251 rxn33372 	Subunit 1	0	NA
1.2.7.4-RXN	carbon monoxide dehydrogenase (ferredoxin)	1.2.7.4	NA									|CODH-PWY|	no_blast	NA	rxn05803 rxn06847 rxn07189 rxn07824 rxn15962 rxn16153 rxn16164 rxn17208 rxn19251 rxn33372 	Subunit 5	0	NA
1.2.7.4-RXN	carbon monoxide dehydrogenase (ferredoxin)	1.2.7.4	NA									|CODH-PWY|	no_blast	NA	rxn05803 rxn06847 rxn07189 rxn07824 rxn15962 rxn16153 rxn16164 rxn17208 rxn19251 rxn33372 	Subunit undefined	0	NA
1.2.7.4-RXN	carbon monoxide dehydrogenase (ferredoxin)	1.2.7.4	NA									|CODH-PWY|	no_blast	NA	rxn05803 rxn06847 rxn07189 rxn07824 rxn15962 rxn16153 rxn16164 rxn17208 rxn19251 rxn33372 	NA	0	NA
RXN-21797	methylene tetrahydrofolate reductase (bifurcating)		NA									|CODH-PWY|	no_seq_data	NA	 	NA	0	NA
CREATININASE-RXN	creatininase	3.5.2.10	NA	UniRef50_A0A0N8HZN0	31.203	3.46e-26	105	94	scaffold00006	105016	105765	|CRNFORCAT-PWY|	bad_blast	NA	rxn01374 	NA	0	NA
CREATINASE-RXN	creatinase	3.5.3.3	NA									|CRNFORCAT-PWY|	no_blast	NA	rxn01142 	NA	0	NA
SARCOSINE-DEHYDROGENASE-RXN	sarcosine dehydrogenase	1.5.8.3	NA									|CRNFORCAT-PWY|	no_blast	NA	rxn05870 rxn27099 	NA	0	NA
SARCOX-RXN	sarcosine oxidase	1.5.3.1	NA									|CRNFORCAT-PWY|	no_blast	NA	rxn00433 	Subunit 1	0	NA
SARCOX-RXN	sarcosine oxidase	1.5.3.1	NA									|CRNFORCAT-PWY|	no_blast	NA	rxn00433 	Subunit 2	0	NA
SARCOX-RXN	sarcosine oxidase	1.5.3.1	NA									|CRNFORCAT-PWY|	no_blast	NA	rxn00433 	Subunit 4	0	NA
SARCOX-RXN	sarcosine oxidase	1.5.3.1		UniRef50_I3ZSF1	41.709	2.52e-81	270	91	scaffold00022	11827	12999	|CRNFORCAT-PWY|	good_blast	NA	rxn00433 	Subunit undefined	0	NA
RXN0-5222	cyanase		NA									|CYANCAT-PWY|	spontaneous	NA	 	NA	0	NA
RXN0-5224	carbonate dehydratase	4.2.1.1	NA									|CYANCAT-PWY|	no_blast	NA	rxn00102 	NA	0	NA
R524-RXN	cyanase	4.2.1.104	NA									|CYANCAT-PWY|	no_blast	NA	rxn02529 rxn05063 rxn05064 rxn23233 	NA	0	NA
CYCLOHEXANOL-DEHYDROGENASE-RXN	cyclohexanol dehydrogenase	1.1.1.245	NA	UniRef50_G0ABN6	37.200	3.16e-44	156	99	scaffold00003	175066	174323	|CYCLOHEXANOL-OXIDATION-PWY|	bad_blast	NA	rxn01597 	NA	0	NA
CYCLOHEXANONE-MONOOXYGENASE-RXN	cyclohexanone monooxygenase	1.14.13.22	NA									|CYCLOHEXANOL-OXIDATION-PWY|	no_blast	NA	rxn01598 rxn04472 	NA	0	NA
6-OXOHEXANOATE-OXIDATION-RXN	6-oxohexanoate dehydrogenase	1.2.1.63	NA									|CYCLOHEXANOL-OXIDATION-PWY|	no_seq_data	NA	rxn03455 	NA	0	NA
6-HYDROXYHEXANOATE-OXIDATION-RXN	6-hydroxyhexanoate dehydrogenase	1.1.1.258	NA									|CYCLOHEXANOL-OXIDATION-PWY|	no_seq_data	NA	rxn03595 	NA	0	NA
6-HEXANOLIDE-HYDROLYSIS-RXN	6-hexanolide hydrolysis		NA									|CYCLOHEXANOL-OXIDATION-PWY|	no_seq_data	NA	 	NA	0	NA
CYSTEINE-DIOXYGENASE-RXN	cysteine dioxygenase	1.13.11.20	NA									|CYSTEINE-DEG-PWY|	no_blast	NA	rxn00645 	NA	0	NA
3-SULFINOALANINE-AMINOTRANSFERASE-RXN	3-sulfinoalanine aminotransferase		NA									|CYSTEINE-DEG-PWY|	no_seq_data	NA	 	NA	0	NA
3-SULFINYL-PYRUVATE-SPON-RXN	3-SULFINYL-PYRUVATE-SPON-RXN	3.13.1	NA									|CYSTEINE-DEG-PWY|	spontaneous	NA	 	NA	0	NA
SERINE-O-ACETTRAN-RXN	serine acetyltransferase	2.3.1.30		UniRef50_A0A3S3QXA3	46.863	2.53e-80	263	85	scaffold00011	79282	80082	|CYSTSYN-PWY|	good_blast	NA	rxn00423 rxn33958 	NA	0	1
ACSERLY-RXN	cysteine synthase	2.5.1.47	NA									|CYSTSYN-PWY|	no_blast	NA	rxn00649 rxn02246 rxn02571 rxn05733 rxn09886 rxn19041 rxn23132 rxn33959 rxn34662 	NA	0	NA
DIAMINOPIMEPIM-RXN	diaminopimelate epimerase	5.1.1.7		UniRef90_Q6LYS1	43.299	1.41e-73	241	99	scaffold00005	28187	29014	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01974 	NA	0	1
DIAMINOPIMDECARB-RXN	diaminopimelate decarboxylase	4.1.1.20		UniRef90_O27390	34.783	6.23e-70	237	95	scaffold00005	59932	61152	|DAPLYSINESYN-PWY|	good_blast	NA	rxn00313 rxn33985 	NA	0	1
SUCCDIAMINOPIMDESUCC-RXN	N-succinyl-L,L-diaminopimelate desuccinylase	3.5.1.18		UniRef50_C5A619	40.885	2.21e-87	286	93	scaffold00036	5986	4838	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01973 	NA	0	1
SUCCINYLDIAMINOPIMTRANS-RXN	N-succinyldiaminopimelate-aminotransferase	2.6.1.17		UniRef50_A0A2Z2HRU6	40.731	2.16e-84	278	95	scaffold00014	60120	58978	|DAPLYSINESYN-PWY|	good_blast	NA	rxn03087 	NA	0	1
SUCCINYLDIAMINOPIMTRANS-RXN	N-succinyldiaminopimelate-aminotransferase	2.6.1.17		UniRef50_A0A1V4ZFV8	36.829	3.15e-62	213	97	scaffold00014	60141	58972	|DAPLYSINESYN-PWY|	good_blast	NA	rxn03087 	NA	0	1
TETHYDPICSUCC-RXN	tetrahydrodipicolinate succinylase	2.3.1.117	NA	UniRef50_A0A081S5B0	22.936	6.49e-12	61.6	95	scaffold00035	10485	9865	|DAPLYSINESYN-PWY|	bad_blast	NA	rxn03031 	NA	0	NA
DIHYDRODIPICSYN-RXN	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7/4.2.1.52		UniRef90_A6US71	41.724	7.18e-70	231	99	scaffold00009	1209	340	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01644 rxn33984 	NA	0	1
DIHYDRODIPICSYN-RXN	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7/4.2.1.52		UniRef90_A2SQU8	39.333	5.19e-68	226	99	scaffold00009	1215	349	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01644 rxn33984 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-semialdehyde dehydrogenase	1.2.1.11		UniRef90_O28766	42.604	3.97e-68	229	94	scaffold00007	24863	25870	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATEKIN-RXN	aspartokinase	2.7.2.4	NA									|DAPLYSINESYN-PWY|	no_blast	NA	rxn00337 rxn33955 	NA	0	NA
RXN-14014	4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8/1.3.1.26	NA	UniRef90_Q2FNQ9	38.783	1.52e-44	157	99	scaffold00029	44929	44171	|DAPLYSINESYN-PWY|	bad_blast	NA	rxn02928 rxn02929 rxn19543 	NA	0	NA
DARABISOM-RXN	D-arabinose isomerase	5.3.1.3	NA									|DARABCATK12-PWY|	no_seq_data	NA	rxn01152 rxn02263 rxn15227 rxn19444 	NA	0	NA
DARABKIN-RXN	D-ribulokinase	2.7.1.51	NA	UniRef50_A0A7C4DUG6	24.792	3.92e-32	128	92	scaffold00022	8786	10183	|DARABCATK12-PWY|	bad_blast	NA	rxn02319 	NA	0	NA
DARABALDOL-RXN	D-ribulose-phosphate aldolase	4.1.2.17	NA	UniRef90_Q6LY06	32.164	6.24e-18	77.8	84	scaffold00012	47537	48049	|DARABCATK12-PWY|	bad_blast	NA	rxn01620 	NA	0	NA
GLYCOLALD-DEHYDROG-RXN	glycolaldehyde dehydrogenase	1.2.1.21	NA									|DARABCATK12-PWY|	no_blast	NA	rxn00979 rxn01053 	NA	0	NA
D-RIBULOKIN-RXN	D-ribulokinase	2.7.1.47	NA									|DARABCAT-PWY|	no_seq_data	NA	rxn01114 rxn33868 	NA	0	NA
DARABISOM-RXN	D-arabinose isomerase	5.3.1.3	NA									|DARABCAT-PWY|	no_seq_data	NA	rxn01152 rxn02263 rxn15227 rxn19444 	NA	0	NA
D-ARABINITOL-4-DEHYDROGENASE-RXN	D-arabitol 4-dehydrogenase	1.1.1.11	NA									|DARABITOLUTIL-PWY|	no_seq_data	NA	rxn03883 	NA	0	NA
XYLULOKIN-RXN	D-xyulokinase	2.7.1.17		UniRef50_A0A1Q9NRD9	35.394	5.91e-79	266	91	scaffold00022	8780	10138	|DARABITOLUTIL-PWY|	good_blast	NA	rxn01199 	NA	0	1
NITRIC-OXIDE-REDUCTASE-RXN	nitric oxide reductase	1.7.2.5	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn05801 rxn06173 rxn11932 rxn20282 rxn90094 	Subunit 1	1	NA
NITRIC-OXIDE-REDUCTASE-RXN	nitric oxide reductase	1.7.2.5	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn05801 rxn06173 rxn11932 rxn20282 rxn90094 	Subunit 2	1	NA
NITRIC-OXIDE-REDUCTASE-RXN	nitric oxide reductase	1.7.2.5	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn05801 rxn06173 rxn11932 rxn20282 rxn90094 	Subunit undefined	1	NA
NITRIC-OXIDE-REDUCTASE-RXN	nitric oxide reductase	1.7.2.5	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn05801 rxn06173 rxn11932 rxn20282 rxn90094 	NA	1	NA
RXN-12130	nitrous oxide reductase	1.7.2.4	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn06246 rxn11937 rxn22446 rxn28033 rxn90095 	Subunit 2	0	NA
RXN-12130	nitrous oxide reductase	1.7.2.4	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn06246 rxn11937 rxn22446 rxn28033 rxn90095 	Subunit 26	0	NA
RXN-12130	nitrous oxide reductase	1.7.2.4	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn06246 rxn11937 rxn22446 rxn28033 rxn90095 	Subunit undefined	0	NA
RXN-12130	nitrous oxide reductase	1.7.2.4	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn06246 rxn11937 rxn22446 rxn28033 rxn90095 	NA	0	NA
RXN-15838	nitrite reductase	1.7.2.1/1.9.3.2	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn00567 rxn05795 rxn05889 rxn05890 rxn20286 rxn28032 rxn90093 	NA	0	NA
RXN-11236	nitrate reductase	1.7.5.1	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn12498 rxn16339 rxn21509 rxn26054 rxn37044 rxn37045 rxn37046 rxn37047 	Subunit 1	1	NA
RXN-11236	nitrate reductase	1.7.5.1	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn12498 rxn16339 rxn21509 rxn26054 rxn37044 rxn37045 rxn37046 rxn37047 	Subunit 2	1	NA
RXN-11236	nitrate reductase	1.7.5.1	NA									|DENITRIFICATION-PWY|	no_blast	NA	rxn12498 rxn16339 rxn21509 rxn26054 rxn37044 rxn37045 rxn37046 rxn37047 	NA	1	NA
TRANS-RXN0-239	nitrate:nitrite antiport		NA									|DENITRIFICATION-PWY|	no_seq_data	NA	 	NA	0	NA
BSDOSALCAL-RXN	benzenesulfonate dioxygenase system		NA									|DESULFONATION-PWY|	no_seq_data	NA	 	NA	0	NA
SUPEROX-DISMUT-RXN	superoxide dismutase	1.15.1.1	NA									|DETOX1-PWY|	no_blast	NA	rxn00206 	NA	0	NA
CATAL-RXN	catalase	1.11.1.6/1.11.1.21	NA									|DETOX1-PWY|	no_blast	NA	rxn00006 rxn00427 rxn06186 rxn06406 rxn06530 rxn06552 rxn07276 rxn11962 rxn14316 rxn22402 	NA	0	NA
DEHYDOGLUCONOKINASE-RXN	2-ketogluconokinase	2.7.1.13	NA									|DHGLUCONATE-PYR-CAT-PWY|	no_seq_data	NA	rxn01921 	NA	0	NA
1.1.1.43-RXN	2-keto-6-phosphogluconate reductase	1.1.1.43	NA									|DHGLUCONATE-PYR-CAT-PWY|	no_seq_data	NA	rxn01474 rxn01475 rxn16890 	NA	0	NA
GLUCONATE-2-DEHYDROGENASE-RXN	D-gluconate dehydrogenase	1.1.99.3	NA									|DHGLUCONATE-PYR-CAT-PWY|	no_blast	NA	rxn01279 rxn06034 rxn19795 	NA	0	NA
GLUCONOLACT-RXN	GLUCONOLACT-RXN	3.1.1.17	NA									|DHGLUCONATE-PYR-CAT-PWY|	spontaneous	NA	rxn01107 rxn01829 rxn02100 rxn02663 rxn03275 	NA	0	NA
RXN0-6373	D-glucose dehydrogenase	1.1.5.2	NA									|DHGLUCONATE-PYR-CAT-PWY|	no_blast	NA	rxn07122 rxn15632 rxn15633 rxn19778 rxn27880 rxn36726 rxn36727 rxn36728 rxn38876 rxn38877 rxn38878 	NA	0	NA
SULFATE-ADENYLYLTRANS-RXN	sulfate adenylyltransferase	2.7.7.4	NA									|DISSULFRED-PWY|	no_blast	NA	rxn00379 rxn03373 rxn27259 rxn34004 	NA	0	NA
ADENYLYLSULFATE-REDUCTASE-RXN	adenylylsulfate reductase	1.8.99.2	NA									|DISSULFRED-PWY|	no_blast	NA	rxn03371 rxn05903 rxn11934 rxn13994 rxn19074 rxn27687 	Subunit 1	0	NA
ADENYLYLSULFATE-REDUCTASE-RXN	adenylylsulfate reductase	1.8.99.2	NA									|DISSULFRED-PWY|	no_blast	NA	rxn03371 rxn05903 rxn11934 rxn13994 rxn19074 rxn27687 	Subunit 2	0	NA
ADENYLYLSULFATE-REDUCTASE-RXN	adenylylsulfate reductase	1.8.99.2	NA									|DISSULFRED-PWY|	no_blast	NA	rxn03371 rxn05903 rxn11934 rxn13994 rxn19074 rxn27687 	Subunit undefined	0	NA
ADENYLYLSULFATE-REDUCTASE-RXN	adenylylsulfate reductase	1.8.99.2	NA									|DISSULFRED-PWY|	no_blast	NA	rxn03371 rxn05903 rxn11934 rxn13994 rxn19074 rxn27687 	NA	0	NA
RXN-17803	dissimilatory sulfite reductase		NA									|DISSULFRED-PWY|	no_blast	NA	 	Subunit 1	0	NA
RXN-17803	dissimilatory sulfite reductase		NA									|DISSULFRED-PWY|	no_blast	NA	 	Subunit 2	0	NA
RXN-17803	dissimilatory sulfite reductase		NA									|DISSULFRED-PWY|	no_blast	NA	 	NA	0	NA
RXN-17804	DsrC-trisulfide reductase		NA									|DISSULFRED-PWY|	no_seq_data	NA	 	NA	0	NA
DTDPDEHYDRHAMEPIM-RXN	dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	NA	UniRef90_O27818	56.738	7.88e-54	181	76	scaffold00001	320334	319912	|DTDPRHAMSYN-PWY|	bad_blast	NA	rxn02000 rxn02001 rxn19641 	NA	0	NA
DTDPDEHYRHAMREDUCT-RXN	dTDP-4-dehydrorhamnose reductase	1.1.1.133		UniRef50_A0A140L6V4	37.624	3.38e-59	200	100	scaffold00001	245829	246734	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn02003 rxn03269 rxn19642 rxn32259 	NA	0	1
DTDPGLUCOSEPP-RXN	dTDP-glucose pyrophosphorylase	2.7.7.24	NA	sp|D4GU70|AGL11_HALVD	25.075	1.77e-13	68.9	100	scaffold00001	61669	62667	|DTDPRHAMSYN-PWY|	bad_blast	NA	rxn01675 	NA	0	NA
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A254NM60	57.317	1.94e-127	399	96	scaffold00001	244777	245760	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A0H2YPT8	53.582	2.40e-113	359	99	scaffold00001	244783	245784	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A2A6RJK7	46.847	9.80e-105	334	98	scaffold00001	244786	245784	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A2E0B5L9	48.457	5.96e-99	317	95	scaffold00001	244777	245748	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A2D8BFR3	43.931	1.46e-88	288	99	scaffold00001	244777	245784	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
DTDPGLUCDEHYDRAT-RXN	dTDP-glucose 4,6-dehydratase	4.2.1.46		UniRef50_A0A1G0FD01	47.095	8.24e-86	280	94	scaffold00001	244786	245718	|DTDPRHAMSYN-PWY|	good_blast	NA	rxn01997 	NA	0	1
KDPGALDOL-RXN	2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.55/4.1.2.14	NA	UniRef90_Q6KZI8	31.455	8.49e-26	103	79	scaffold00009	1191	565	|ENTNER-DOUDOROFF-PWY|	bad_blast	NA	rxn00783 rxn03884 rxn15044 	NA	0	NA
PGLUCONDEHYDRAT-RXN	phosphogluconate dehydratase	4.2.1.12		UniRef50_A0A7Z2AMD8	33.333	3.48e-62	221	85	scaffold00001	212685	214235	|ENTNER-DOUDOROFF-PWY|	good_blast	NA	rxn01477 rxn15296 	NA	0	1
